name,Brand,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,rpm,Nm,seats
Jeep Compass 2.0 Longitude Option BSIV,Jeep,2017,1550000,50000,Diesel,Individual,Manual,First Owner,17.1,1956,170,2125,350,5
Maruti Swift VXI Optional,Maruti,2016,540000,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,4200,113,5
Hyundai i20 Sportz 1.4 CRDi,Hyundai,2014,450000,56000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,2250,219,5
Maruti Eeco 7 Seater Standard BSIV,Maruti,2015,300000,19800,Petrol,Individual,Manual,First Owner,15.37,1196,73,3000,101,7
Toyota Fortuner 2.8 4WD AT BSIV,Toyota,2018,3200000,60000,Diesel,Individual,Automatic,First Owner,15.04,2755,174.5,2000,450,7
Honda Amaze V Petrol BSIV,Honda,2018,600000,20000,Petrol,Individual,Manual,First Owner,19.5,1199,88.76,4800,110,5
Maruti Wagon R VXI BS IV with ABS,Maruti,2013,260000,50000,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,3500,90,5
Toyota Glanza V CVT,Toyota,2019,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,4200,113,5
Volvo V40 D3 R-Design,Volvo,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150,2125,350,5
Ford EcoSport 1.5 TDCi Titanium BSIV,Ford,2017,934000,101000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,2500,205,5
Renault KWID RXT,Renault,2017,320000,28000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,4386,72,5
Jaguar XF 2.2 Litre Luxury,Jaguar,2013,2450000,60000,Diesel,Individual,Automatic,First Owner,16.36,2179,187.7,2000,450,5
Maruti Swift Dzire VXi,Maruti,2008,160000,123000,Petrol,Individual,Manual,Third Owner,17.5,1298,85.8,4000,114,5
Tata Indica V2 DL BSIII,Tata,2007,90000,50000,Diesel,Individual,Manual,First Owner,17.88,1396,52.8,2500,85,5
Audi Q5 3.0 TDI Quattro,Audi,2014,1850000,76131,Diesel,Individual,Automatic,First Owner,13.22,2967,241.4,2325,580,5
Maruti A-Star Vxi,Maruti,2010,130000,162000,Petrol,Individual,Manual,Second Owner,19,998,66.1,3500,90,5
Maruti Alto K10 2010-2014 VXI,Maruti,2010,160000,100000,Petrol,Individual,Manual,Third Owner,20.92,998,67.1,3500,90,5
Mahindra TUV 300 mHAWK100 T8 AMT,Mahindra,2016,750000,110000,Diesel,Individual,Automatic,First Owner,18.49,1493,100,2200,240,7
Toyota Fortuner 4x2 AT,Toyota,2015,1900000,130000,Diesel,Individual,Automatic,First Owner,12.55,2982,168.5,2300,360,7
Skoda Rapid 1.5 TDI Active,Skoda,2013,475000,77300,Diesel,Dealer,Manual,First Owner,21.14,1498,103.52,2000,250,5
Ford EcoSport 1.5 Diesel Trend BSIV,Ford,2014,484999,54000,Diesel,Dealer,Manual,First Owner,23,1498,98.96,2500,205,5
Chevrolet Captiva LT,Chevrolet,2008,300000,100000,Diesel,Individual,Manual,Second Owner,11.5,1991,147.9,2000,320,7
Tata Nexon 1.5 Revotorq XZ Plus,Tata,2017,830000,35000,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,2125,260,5
Hyundai Grand i10 Sportz,Hyundai,2016,525000,45000,Petrol,Individual,Manual,First Owner,18.9,1197,82,4000,114,5
Hyundai i20 Active 1.2 SX,Hyundai,2017,650000,80000,Petrol,Individual,Manual,Second Owner,17.19,1197,81.86,4000,114,5
Honda Brio 1.2 VX MT,Honda,2014,325000,52442,Petrol,Trustmark Dealer,Manual,Second Owner,18.5,1198,86.8,4500,109,5
Maruti Baleno Zeta Diesel,Maruti,2017,752000,28000,Diesel,Dealer,Manual,First Owner,27.39,1248,74,2000,190,5
Mahindra Bolero 2011-2019 ZLX,Mahindra,2013,500000,50000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,1800,195,7
Maruti Alto Std,Maruti,2008,95000,120000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,3000,62,5
Ford EcoSport 1.5 Diesel Titanium BSIV,Ford,2018,950000,80000,Diesel,Individual,Manual,First Owner,23,1498,98.96,2500,205,5
Tata Tiago 1.2 Revotron XT,Tata,2018,350000,50000,Petrol,Individual,Manual,First Owner,23.84,1199,84,3500,114,5
Chevrolet Spark 1.0 LS,Chevrolet,2011,150000,40000,Petrol,Individual,Manual,Second Owner,18,995,62,4200,90,5
Maruti Swift Dzire VDI,Maruti,2018,700000,50000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,2000,190,5
Audi A4 35 TDI Premium Plus,Audi,2018,2900000,15000,Diesel,Dealer,Automatic,First Owner,18.25,1968,187.74,2375,400,5
Tata Manza Club Class Quadrajet90 EX,Tata,2013,316000,140000,Diesel,Individual,Manual,First Owner,21.02,1248,88.76,2375,200,5
Nissan Terrano XL,Nissan,2015,700000,40000,Petrol,Individual,Manual,First Owner,13.24,1598,102.5,3750,145,5
Maruti Alto K10 VXI,Maruti,2019,360000,25000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,3500,90,5
Skoda Octavia Classic 1.9 TDI MT,Skoda,2006,280000,150000,Diesel,Individual,Manual,Third Owner,18.7,1896,66,#DIV/0!,210,5
Volkswagen Polo 1.5 TDI Comfortline,Volkswagen,2014,350000,60000,Diesel,Individual,Manual,Second Owner,20.14,1498,88.8,2000,230,5
Maruti Alto LXi,Maruti,2010,160000,36659,Petrol,Individual,Manual,First Owner,19.7,796,46.3,3000,62,5
Maruti Ritz VDi,Maruti,2011,275000,165000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,4500,113,5
Maruti 800 AC,Maruti,2002,60000,52365,Petrol,Dealer,Manual,Second Owner,16.1,796,37,2500,59,4
Volkswagen Vento 1.6 Highline,Volkswagen,2014,500000,70000,Petrol,Individual,Manual,Second Owner,15.04,1598,103.2,3800,153,5
Mahindra TUV 300 T10,Mahindra,2018,775000,50000,Diesel,Individual,Manual,Second Owner,18.49,1493,100,2200,240,7
Ford Aspire Trend Plus,Ford,2018,620000,15000,Petrol,Individual,Manual,First Owner,20.4,1194,94.93,4250,120,5
Maruti Swift ZDI BSIV,Maruti,2015,600000,25000,Diesel,Individual,Manual,First Owner,25.2,1248,74,2000,190,5
Skoda Rapid Ultima 1.6 TDI Elegance,Skoda,2013,380000,90000,Diesel,Individual,Manual,Second Owner,20.5,1598,103.5,2000,250,5
Datsun GO T Option BSIV,Datsun,2015,350000,50000,Petrol,Individual,Manual,First Owner,20.63,1198,67,4000,104,5
Maruti A-Star Vxi,Maruti,2009,185000,50000,Petrol,Individual,Manual,First Owner,19,998,66.1,3500,90,5
Hyundai Xcent 1.2 VTVT SX,Hyundai,2020,524000,32000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,4000,113,5
Renault KWID 1.0 RXT BSIV,Renault,2019,390000,25000,Petrol,Individual,Manual,First Owner,23.01,999,67,4250,91,5
Maruti Celerio ZXI Optional,Maruti,2017,483000,15000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,3500,90,5
Mitsubishi Pajero Sport 4X4,Mitsubishi,2015,1700000,39000,Diesel,Individual,Manual,First Owner,13.5,2477,175.56,2250,400,7
Chevrolet Beat LS,Chevrolet,2011,125000,90000,Petrol,Individual,Manual,Second Owner,18.6,1199,79.4,4400,108,5
Honda City i VTEC V,Honda,2017,850000,11688,Petrol,Trustmark Dealer,Manual,First Owner,17.8,1497,117.3,4600,145,5
Nissan Terrano XV D Premium AMT,Nissan,2017,850000,55000,Diesel,Individual,Automatic,First Owner,19.61,1461,108.5,2250,248,5
Maruti Swift Dzire VXI,Maruti,2017,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,4000,115,5
Hyundai Verna 1.6 SX,Hyundai,2013,520000,88000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,2325,259,5
Tata Indica Vista Terra Quadrajet 1.3L BS IV,Tata,2011,180000,87000,Diesel,Individual,Manual,First Owner,18,1248,75,1750,190,5
Maruti SX4 S Cross 2015-2017 DDiS 200 Sigma,Maruti,2017,650000,44000,Diesel,Dealer,Manual,First Owner,23.65,1248,88.5,1750,200,5
Tata Tiago 1.05 Revotorq XZ,Tata,2016,400000,35000,Diesel,Individual,Manual,Second Owner,27.28,1047,69,2400,140,5
Fiat Grande Punto Sport 90BHP,Fiat,2012,285000,70000,Diesel,Individual,Manual,Second Owner,20.3,1248,92,2000,209,5
Maruti Wagon R LXI,Maruti,2008,221000,35008,Petrol,Dealer,Manual,First Owner,21.79,998,67.05,3500,90,5
Tata Indica Vista Quadrajet LS,Tata,2012,125000,120000,Diesel,Individual,Manual,First Owner,22.3,1248,74,2375,190,5
Tata Indica Vista Quadrajet VX,Tata,2012,200000,90000,Diesel,Individual,Manual,First Owner,22.3,1248,74,2375,190,5
Audi A3 40 TFSI Premium,Audi,2017,1689999,8000,Petrol,Dealer,Automatic,First Owner,16.6,1798,177.5,3125,250,5
Tata Indigo eCS LX BSIV,Tata,2011,215000,70000,Diesel,Individual,Manual,First Owner,23.03,1396,69,2400,140,5
Toyota Fortuner 4x4 MT,Toyota,2015,2000000,20000,Diesel,Individual,Manual,First Owner,12.55,2982,168.5,2400,343,7
Honda City 1.5 E MT,Honda,2008,229999,120000,Petrol,Individual,Manual,Second Owner,17,1497,118,4800,146,5
Maruti Baleno Zeta Automatic,Maruti,2018,740000,9000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,4000,115,5
Tata Manza Aura (ABS) Quadrajet BS IV,Tata,2011,325000,79000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,2375,200,5
BMW 3 Series 320d GT Luxury Line,BMW,2017,2950000,39000,Diesel,Dealer,Automatic,First Owner,19.59,1995,187.74,2250,380,5
Maruti Alto LX,Maruti,2011,175000,175000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,3000,62,5
Hyundai i20 1.2 Magna Executive,Hyundai,2017,450000,70000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,4000,114,5
Maruti Alto 800 LXI BSIV,Maruti,2016,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,3500,69,5
Maruti Vitara Brezza VDi Option,Maruti,2017,725000,50000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,1750,200,5
Renault KWID RXT,Renault,2018,335000,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,4386,72,5
Maruti Omni E MPI STD BS IV,Maruti,2016,190000,70000,Petrol,Individual,Manual,Second Owner,16.8,796,34.2,2500,59,8
Maruti Wagon R LXI BS IV,Maruti,2012,265000,67998,Petrol,Dealer,Manual,First Owner,18.9,998,67.1,3500,90,5
Mahindra Scorpio VLX 2WD AIRBAG BSIV,Mahindra,2012,560000,101903,Diesel,Individual,Manual,Second Owner,12.05,2179,120,2300,290,8
Volkswagen Vento Diesel Highline,Volkswagen,2011,300000,120000,Diesel,Individual,Manual,Third Owner,20.54,1598,103.6,2000,250,5
Toyota Innova Crysta 2.4 ZX MT,Toyota,2016,1925000,27000,Diesel,Dealer,Manual,First Owner,13.68,2393,147.51,2100,343,7
Mahindra Scorpio 2006-2009 LX 2.6 Turbo 9 Str,Mahindra,2008,450000,112000,Diesel,Individual,Manual,First Owner,10.5,2609,120,2300,290,9
Hyundai EON Magna Plus,Hyundai,2014,210000,70000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,4000,74,5
Mahindra Thar CRDe,Mahindra,2018,850000,15000,Diesel,Individual,Manual,Second Owner,16.55,2498,105,1900,247,6
Tata New Safari DICOR 2.2 EX 4x2,Tata,2008,500000,179150,Diesel,Individual,Manual,Second Owner,11.57,2179,138.1,2200,320,7
Maruti Vitara Brezza LDi Option,Maruti,2017,700000,90000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,1750,200,5
Mahindra XUV500 W8 4WD,Mahindra,2012,500000,200000,Diesel,Individual,Manual,Fourth & Above Owner,15.1,2179,140,2200,330,7
Hyundai i20 2015-2017 Sportz 1.2,Hyundai,2016,500000,40000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,4000,114,5
Maruti Alto K10 VXI,Maruti,2017,335000,25000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,3500,90,5
Volkswagen Vento Diesel Highline,Volkswagen,2012,375000,90000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,2000,250,5
Maruti Swift Dzire ZDI,Maruti,2015,615000,32000,Diesel,Individual,Manual,First Owner,26.59,1248,74,2000,190,5
Tata Sumo Gold GX,Tata,2013,310000,145000,Diesel,Individual,Manual,First Owner,15.3,2956,83.83,1500,250,7
Honda Amaze VX i-DTEC,Honda,2013,484999,50000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,1750,200,5
Maruti Vitara Brezza LDi Option,Maruti,2016,640000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,1750,200,5
Maruti Swift Dzire VXI 1.2,Maruti,2018,630000,15000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,4200,113,5
Volkswagen Vento 1.5 TDI Highline Plus AT,Volkswagen,2015,651000,69000,Diesel,Dealer,Automatic,First Owner,22.15,1498,108.6,2250,250,5
Maruti Ciaz ZDi Plus SHVS,Maruti,2015,630000,70000,Diesel,Individual,Manual,Second Owner,28.09,1248,88.5,1750,200,5
Hyundai Santro Xing GLS,Hyundai,2011,140000,60000,Petrol,Individual,Manual,Fourth & Above Owner,17.92,1086,62.1,3000,96,5
Honda Brio Exclusive Edition,Honda,2014,335000,33033,Petrol,Dealer,Manual,First Owner,19.4,1198,86.8,4500,109,5
Volkswagen Vento Diesel Highline,Volkswagen,2011,300000,100000,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6,2000,250,5
Renault KWID RXT Optional,Renault,2016,250000,22000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,4386,72,5
Hyundai Santro Era,Hyundai,2019,399000,4000,Petrol,Individual,Manual,First Owner,20.3,1086,68,4500,99,5
Maruti 800 Std MPFi,Maruti,2003,65000,90000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796,37,2500,59,4
Tata Nano Lx BSIV,Tata,2010,65000,26432,Petrol,Dealer,Manual,First Owner,25.4,624,37.48,500,51,4
Tata Safari Storme EX,Tata,2017,1100000,20000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,2250,320,7
Maruti Ritz VDi,Maruti,2012,270000,80000,Diesel,Individual,Manual,Third Owner,23.2,1248,73.94,2000,190,5
Chevrolet Sail Hatchback LT ABS,Chevrolet,2013,200000,70000,Diesel,Individual,Manual,First Owner,22.1,1248,76.9,1750,205,5
Honda Jazz 1.2 VX i VTEC,Honda,2016,484999,30000,Petrol,Individual,Manual,First Owner,18.7,1199,88.7,4800,110,5
Mahindra XUV500 W6 2WD,Mahindra,2014,600000,122000,Diesel,Individual,Manual,Second Owner,15.1,2179,140,2200,330,7
Maruti Swift VXI,Maruti,2018,550000,24400,Petrol,Individual,Manual,First Owner,22,1197,81.8,4200,113,5
Hyundai Grand i10 1.2 Kappa Sportz Option,Hyundai,2018,528000,5000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,4000,113,5
Hyundai EON Era Plus,Hyundai,2013,180000,60000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,4000,74,5
Toyota Innova 2.5 GX (Diesel) 7 Seater,Toyota,2013,400000,35000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,2400,200,7
Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,Hyundai,2019,640000,10000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,4000,113,5
Maruti Alto K10 2010-2014 VXI,Maruti,2011,229999,40000,Petrol,Individual,Manual,Second Owner,20.92,998,67.1,3500,90,5
Volkswagen Vento Petrol Highline,Volkswagen,2012,360000,60000,Petrol,Individual,Manual,Third Owner,15.04,1598,103.6,3800,153,5
Maruti Swift Vdi BSIII,Maruti,2010,305000,175000,Diesel,Individual,Manual,Third Owner,17.8,1248,75,2000,190,5
Maruti Swift DDiS VDI,Maruti,2017,610000,49000,Diesel,Individual,Manual,First Owner,28.4,1248,74,2000,190,5
Hyundai i20 2015-2017 Asta 1.2,Hyundai,2016,630000,50000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,4000,114,5
Hyundai i10 Sportz 1.2,Hyundai,2009,200000,53000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,4000,111,5
Maruti 800 AC,Maruti,2006,50000,40000,Petrol,Individual,Manual,Third Owner,16.1,796,37,2500,59,4
Honda City i VTEC VX,Honda,2015,900000,22000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,4600,145,5
Maruti Zen D,Maruti,2003,85000,120000,Diesel,Individual,Manual,Third Owner,20.8,1527,58,2250,789,5
Maruti Swift Dzire VDI,Maruti,2017,711000,35000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,2000,190,5
Hyundai Grand i10 1.2 Kappa Asta,Hyundai,2018,580000,25000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,4000,113,5
Honda CR-V 2.0L 2WD AT,Honda,2016,1350000,74000,Petrol,Dealer,Automatic,First Owner,13.7,1997,153.86,4300,190,5
Hyundai Grand i10 1.2 Kappa Sportz BSIV,Hyundai,2018,500000,20000,Petrol,Individual,Manual,Second Owner,18.9,1197,81.86,4000,113,5
Maruti SX4 ZXI AT,Maruti,2009,200000,90000,Petrol,Individual,Automatic,Second Owner,12.6,1586,103.3,4100,145,5
Renault KWID RXT,Renault,2017,300000,60000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,4386,72,5
Maruti Alto K10 LXI,Maruti,2018,350000,10000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,3500,90,5
Hyundai i20 1.2 Magna Executive,Hyundai,2017,570000,15000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,4000,114,5
Chevrolet Enjoy 1.3 TCDi LS 8,Chevrolet,2016,525000,80000,Diesel,Individual,Manual,First Owner,18.2,1248,73.74,1750,172,8
Tata New Safari 3L Dicor LX 4x2,Tata,2012,450000,68240,Diesel,Dealer,Manual,First Owner,13.93,2956,138.1,2200,320,7
Tata Tiago 1.2 Revotron XZ,Tata,2018,450000,5000,Petrol,Individual,Manual,First Owner,23.84,1199,84,3500,114,5
Maruti Baleno Delta,Maruti,2017,570000,25272,Petrol,Trustmark Dealer,Manual,First Owner,21.01,1197,81.8,4200,113,5
Tata Zest Quadrajet 1.3 75PS XE,Tata,2017,280000,80000,Diesel,Individual,Manual,First Owner,22.95,1248,74,2375,190,5
Ford Aspire Titanium BSIV,Ford,2019,675000,7000,Petrol,Individual,Manual,First Owner,19.4,1194,94.93,4250,120,5
Tata Nexon 1.5 Revotorq XZ Plus,Tata,2018,980000,20000,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,2125,260,5
Toyota Etios GD,Toyota,2016,509999,80000,Diesel,Individual,Manual,Second Owner,23.59,1364,67.05,2100,170,5
Maruti Ciaz ZDi,Maruti,2015,700000,60000,Diesel,Individual,Manual,First Owner,26.21,1248,88.5,1750,200,5
Chevrolet Tavera Neo 3 LT 9 Seats BSIII,Chevrolet,2013,600000,90000,Diesel,Individual,Manual,First Owner,13.58,2499,72.4,1800,171,9
Hyundai EON 1.0 Era Plus,Hyundai,2018,350000,25000,Petrol,Individual,Manual,First Owner,20.3,998,68.05,3500,94,5
Maruti Vitara Brezza ZDi,Maruti,2018,910000,36500,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,1750,200,5
Maruti Swift Dzire ZDI Plus,Maruti,2017,900000,50000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,2000,190,5
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,2011,325000,134000,Diesel,Individual,Manual,Second Owner,22.07,1199,73.9,2000,180,5
Maruti Alto LXi,Maruti,2007,150000,80000,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,3000,62,5
Mahindra TUV 300 T8,Mahindra,2015,730000,100000,Diesel,Individual,Manual,First Owner,18.49,1493,100,2200,240,7
Volkswagen Vento Diesel Highline,Volkswagen,2013,330000,100000,Diesel,Individual,Manual,Third Owner,20.54,1598,103.6,2000,250,5
Maruti Alto 800 LXI,Maruti,2014,250000,20000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,3500,69,5
Honda Amaze VX i-VTEC,Honda,2015,450000,50000,Petrol,Individual,Manual,First Owner,17.8,1198,86.7,4500,109,5
Maruti Swift VDI,Maruti,2015,550000,45000,Diesel,Dealer,Manual,First Owner,28.4,1248,74,2000,190,5
Ford Figo 1.5D Titanium Opt MT,Ford,2016,459999,69000,Diesel,Individual,Manual,Second Owner,25.83,1498,99,2375,215,5
Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,Maruti,2018,950000,51000,Diesel,Individual,Manual,First Owner,25.1,1248,88.5,1750,200,5
Renault KWID AMT,Renault,2018,319000,30000,Petrol,Individual,Automatic,First Owner,24.04,999,67,4250,91,5
Hyundai Santa Fe 2WD MT,Hyundai,2014,1100000,80000,Diesel,Individual,Manual,First Owner,14.74,2199,194.3,2150,420,7
Hyundai i10 Magna 1.2 iTech SE,Hyundai,2010,180000,120000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,4000,111,5
Hyundai Verna 1.6 SX,Hyundai,2012,390000,100000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,2325,259,5
Honda Amaze i-VTEC Privilege Edition,Honda,2017,570000,15780,Petrol,Individual,Manual,First Owner,17.8,1198,86.7,4500,109,5
Maruti Celerio ZXI,Maruti,2015,400000,60000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,3500,90,5
Datsun GO Plus T,Datsun,2017,200000,140000,Petrol,Individual,Manual,First Owner,19.02,1198,67.05,4000,104,7
Datsun GO T Option BSIV,Datsun,2018,430000,5000,Petrol,Individual,Manual,Second Owner,20.63,1198,67,4000,104,5
Toyota Etios GD,Toyota,2015,525000,80000,Diesel,Individual,Manual,Second Owner,23.59,1364,67.05,2100,170,5
Mahindra Scorpio SLX 4WD LE,Mahindra,2008,365000,120000,Diesel,Individual,Manual,Fourth & Above Owner,12.7,2609,120,2300,290,8
Hyundai Santro Asta BSIV,Hyundai,2018,540000,7000,Petrol,Dealer,Manual,First Owner,20.3,1086,68,4500,99,5
Volkswagen Polo GT TSI,Volkswagen,2013,453000,54327,Petrol,Dealer,Automatic,Second Owner,17.2,1197,103.6,2800,175,5
Maruti Swift Dzire ZDi,Maruti,2011,265000,90000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,2000,190,5
Hyundai EON Magna Plus,Hyundai,2013,235000,40000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,4000,74,5
Renault KWID 1.0 RXT Optional,Renault,2017,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999,67,4250,91,5
Fiat Linea Classic Plus 1.3 Multijet,Fiat,2014,325000,142500,Diesel,Individual,Manual,First Owner,19.5,1248,75,1750,197,5
Volkswagen Vento Diesel Highline,Volkswagen,2012,450000,90000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,2000,250,5
Tata Tiago 1.2 Revotron XZ,Tata,2017,450000,25000,Petrol,Individual,Manual,First Owner,23.84,1199,84,3500,114,5
Mahindra Bolero 2011-2019 ZLX,Mahindra,2015,540000,110000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,1800,195,7
Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,2017,775000,32000,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,1750,200,5
Maruti Swift Dzire VXI,Maruti,2014,400000,50000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,4000,114,5
Tata Nexon 1.2 Revotron XZ Plus,Tata,2018,850000,40000,Petrol,Individual,Manual,Second Owner,17,1198,108.5,2875,170,5
Honda Amaze VX i-DTEC,Honda,2013,445000,100000,Diesel,Individual,Manual,First Owner,25.8,1498,98.6,1750,200,5
Honda Amaze S CVT Diesel BSIV,Honda,2019,700000,40000,Diesel,Individual,Automatic,First Owner,23.8,1498,78.9,1750,160,5
Maruti Eeco Smiles 5 Seater AC,Maruti,2013,260000,120000,Petrol,Individual,Manual,Second Owner,15.1,1196,73,3000,101,5
Hyundai i20 Asta Option 1.2,Hyundai,2016,540000,38000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,4000,114,5
Hyundai i10 Magna 1.1L,Hyundai,2013,310000,70000,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,4500,99,5
Maruti Alto LXi,Maruti,2011,225000,90000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,3000,62,5
Mahindra Bolero Pik-Up CBC 1.7T,Mahindra,2019,722000,80000,Diesel,Individual,Manual,First Owner,0,2523,70,1800,200,2
Maruti Eeco 5 Seater AC BSIV,Maruti,2019,420000,10000,Petrol,Individual,Manual,First Owner,15.37,1196,73,3000,101,5
Maruti Alto 800 LXI,Maruti,2013,200000,50000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,3500,69,5
Mahindra Verito Vibe 1.5 dCi D6,Mahindra,2016,750000,100000,Diesel,Individual,Manual,First Owner,20.8,1461,64.1,2000,160,5
Hyundai Xcent 1.2 VTVT S AT,Hyundai,2018,575000,15000,Petrol,Individual,Automatic,First Owner,17.36,1197,81.86,4000,113,5
BMW 6 Series GT 630d Luxury Line,BMW,2018,6000000,27000,Diesel,Dealer,Automatic,First Owner,17.09,2993,261.4,2250,620,4
Mahindra Xylo E4 BS IV,Mahindra,2010,229999,168000,Diesel,Individual,Manual,First Owner,14,2498,112,2000,260,7
Mitsubishi Pajero Sport 4X4,Mitsubishi,2013,950000,181491,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,2250,400,7
Maruti Eeco 5 Seater AC BSIV,Maruti,2017,400000,120000,Petrol,Individual,Manual,First Owner,15.37,1196,73,3000,101,5
Maruti Wagon R LXI BS IV,Maruti,2013,240000,108916,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,3500,90,5
Chevrolet Beat LT,Chevrolet,2011,120000,90000,Petrol,Individual,Manual,First Owner,18.6,1199,79.4,4400,108,5
Maruti Swift VVT ZXI,Maruti,2017,625000,25000,Petrol,Individual,Manual,First Owner,22,1197,81.8,4200,113,5
Maruti Alto 800 VXI,Maruti,2017,325000,23000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,3500,69,5
Maruti Swift Dzire VDI,Maruti,2017,650000,70000,Diesel,Individual,Manual,First Owner,26.59,1248,74,2000,190,5
Mahindra XUV500 AT W6 2WD,Mahindra,2016,850000,80000,Diesel,Individual,Automatic,Second Owner,16,2179,140,2200,330,7
Maruti Alto LX,Maruti,2010,125000,120000,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,3000,62,5
Volkswagen Jetta 2.0L TDI Highline AT,Volkswagen,2016,1350000,97000,Diesel,Individual,Automatic,First Owner,16.96,1968,138.03,2125,320,5
Hyundai i10 Magna 1.2 iTech SE,Hyundai,2014,275000,53000,Petrol,Individual,Manual,First Owner,20.36,1197,78.9,4000,111,5
Maruti Swift VDI,Maruti,2012,380000,70000,Diesel,Individual,Manual,Third Owner,22.9,1248,74,2000,190,5
BMW 5 Series 520d Sport Line,BMW,2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995,187.74,2125,400,5
Hyundai i20 Sportz 1.2,Hyundai,2013,340000,70000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,4000,113,5
Hyundai Santro Xing GLS,Hyundai,2009,150000,77000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,3000,96,5
Renault Duster 85PS Diesel RxL,Renault,2014,480000,80000,Diesel,Individual,Manual,First Owner,20.45,1461,83.8,1900,200,5
